,Day,Ratios
0,1,"[1687.0, 0.5251926496739775, 0.4748073503260225]"
1,2,"[2153.0, 0.555039479795634, 0.444960520204366]"
2,3,"[2150.0, 0.5293023255813953, 0.47069767441860466]"
3,4,"[2530.0, 0.5347826086956522, 0.4652173913043478]"
4,5,"[2297.0, 0.5293861558554637, 0.47061384414453633]"
5,6,"[1920.0, 0.5328125, 0.4671875]"
6,7,"[2186.0, 0.520128087831656, 0.479871912168344]"
7,8,"[2090.0, 0.5, 0.5]"
8,9,"[2462.0, 0.5337124289195776, 0.4662875710804224]"
9,10,"[2597.0, 0.5383134385829803, 0.46168656141701964]"
10,11,"[2287.0, 0.5255793616090949, 0.4744206383909051]"
11,12,"[1156.0, 0.5605536332179931, 0.43944636678200694]"
12,13,"[1888.0, 0.5254237288135594, 0.4745762711864407]"
13,14,"[2212.0, 0.5510849909584087, 0.4489150090415913]"
14,15,"[2839.0, 0.5156745332863685, 0.4843254667136316]"
15,16,"[2260.0, 0.5278761061946903, 0.4721238938053097]"
16,17,"[2407.0, 0.5247195679268799, 0.47528043207312004]"
17,18,"[2414.0, 0.5463960231980116, 0.4536039768019884]"
18,19,"[2587.0, 0.5272516428295323, 0.4727483571704677]"
19,20,"[2504.0, 0.5591054313099042, 0.44089456869009586]"
20,21,"[2678.0, 0.5194174757281553, 0.48058252427184467]"
21,22,"[3635.0, 0.525171939477304, 0.474828060522696]"
22,23,"[2944.0, 0.515625, 0.484375]"
23,24,"[3434.0, 0.5652300524170064, 0.4347699475829936]"
24,25,"[5251.0, 0.5598933536469244, 0.4401066463530756]"
25,26,"[3103.0, 0.6090879793747985, 0.3909120206252014]"
26,27,"[4498.0, 0.5751445086705202, 0.42485549132947975]"
27,28,"[3920.0, 0.5566326530612244, 0.4433673469387755]"
